City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,San Carlos De Bariloche,AR,55.15,broken clouds,-41.1456,-71.3082,Hotel Patagonia
285,Sur,OM,73.0,clear sky,22.5667,59.5289,Sur Plaza Hotel
286,Le Port,RE,73.4,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
287,Kaka,TM,65.84,overcast clouds,37.3482,59.6143,
289,Saint-Joseph,RE,71.98,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
293,Susanville,US,62.82,few clouds,40.4163,-120.653,Comfort Inn & Suites
294,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
300,Sarakhs,IR,66.04,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
302,Richards Bay,ZA,74.66,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
308,Marrakesh,MA,57.27,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
316,Antalaha,MG,72.46,light rain,-14.9003,50.2788,Hotel Vitasoa
318,Tura,IN,62.19,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
322,Ilhabela,BR,73.22,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
326,Namwala,ZM,72.82,few clouds,-15.7504,26.4384,Corner Point Lodge
334,Havelock,US,64.36,clear sky,34.8791,-76.9013,Sherwood Motel
335,Guhagar,IN,73.76,moderate rain,17.4842,73.1929,Hotel Seawinds
336,Cooma,AU,58.77,clear sky,-36.2333,149.1333,High Country Motel
338,Ngaoundere,CM,70.97,scattered clouds,7.3167,13.5833,Hotel Mentong Palace
341,Beirut,LB,63.34,thunderstorm,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
352,Diego De Almagro,CL,74.61,clear sky,-26.3667,-70.05,hotel luna del desierto
353,Portales,US,73.09,clear sky,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
357,Quipile,CO,65.34,moderate rain,4.7481,-74.5631,Quibee - La Ruta de la Miel
358,Awbari,LY,57.54,broken clouds,26.5921,12.7805,فندق أوباري
359,Tucumcari,US,70.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
