City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
24,Georgetown,MY,2021-11-23 21:01:20,5.4112,100.3354,80.53,88,20,9.22
25,Hermanus,ZA,2021-11-23 21:02:45,-34.4187,19.2345,63.9,78,90,9.66
26,Upernavik,GL,2021-11-23 21:02:45,72.7868,-56.1549,0.23,67,5,8.68
27,Arraial Do Cabo,BR,2021-11-23 21:02:46,-22.9661,-42.0278,73.0,84,4,9.13
28,Necochea,AR,2021-11-23 21:02:46,-38.5473,-58.7368,80.04,29,43,8.41
29,Mayo,US,2021-11-23 21:02:47,38.8876,-76.5119,44.19,40,37,11.01
30,Alofi,NU,2021-11-23 21:02:47,-19.0595,-169.9187,84.09,58,75,6.91
31,Bereda,ES,2021-11-23 21:02:48,43.2686,-7.5406,50.0,97,100,7.54
32,Hilo,US,2021-11-23 21:02:48,19.7297,-155.09,78.53,72,90,0.0
33,Jieshi,CN,2021-11-23 21:02:49,22.8134,115.8257,59.95,56,23,9.66
34,Rikitea,PF,2021-11-23 21:02:50,-23.1203,-134.9692,76.78,81,20,14.97
35,Ichchapuram,IN,2021-11-23 21:02:50,19.1167,84.7,76.26,86,59,2.51
36,Punta Arenas,CL,2021-11-23 21:02:11,-53.15,-70.9167,47.25,75,72,22.24
37,Lorengau,PG,2021-11-23 21:02:51,-2.0226,147.2712,81.63,80,100,10.2
38,Sorong,ID,2021-11-23 21:02:51,-0.8833,131.25,78.98,86,88,6.04
39,Bambous Virieux,MU,2021-11-23 21:02:52,-20.3428,57.7575,72.21,76,42,8.48
40,Mataura,NZ,2021-11-23 21:02:52,-46.1927,168.8643,58.21,58,91,2.95
41,Hobart,AU,2021-11-23 21:02:53,-42.8794,147.3294,66.02,83,0,8.05
42,Bluff,NZ,2021-11-23 21:02:53,-46.6,168.3333,55.04,72,100,13.13
43,Charagua,BO,2021-11-23 21:02:54,-19.8,-63.2167,92.26,35,100,11.3
44,Matara,LK,2021-11-23 21:02:54,5.9485,80.5353,76.68,93,100,7.49
45,Kruisfontein,ZA,2021-11-23 21:02:55,-34.0033,24.7314,56.88,74,67,6.93
46,Luderitz,NA,2021-11-23 21:02:56,-26.6481,15.1594,64.58,69,30,17.74
47,Hambantota,LK,2021-11-23 21:02:56,6.1241,81.1185,77.74,86,100,5.14
48,Mecca,SA,2021-11-23 20:59:15,21.4267,39.8261,74.17,49,0,5.82
49,Longyearbyen,SJ,2021-11-23 21:03:57,78.2186,15.6401,6.64,61,20,11.5
50,Khasan,RU,2021-11-23 21:03:57,42.4308,130.6434,24.76,49,75,23.2
51,Zhezkazgan,KZ,2021-11-23 21:03:58,47.8043,67.7144,36.14,99,100,8.16
52,Lodwar,KE,2021-11-23 21:02:16,3.1191,35.5973,83.46,44,4,5.73
53,Puerto Ayora,EC,2021-11-23 21:03:59,-0.7393,-90.3518,78.76,73,30,10.96
54,Nanortalik,GL,2021-11-23 21:04:00,60.1432,-45.2371,32.68,69,100,9.24
55,Zhigansk,RU,2021-11-23 21:04:00,66.7697,123.3711,-38.25,100,65,3.09
56,Goderich,CA,2021-11-23 21:00:04,43.7501,-81.7165,36.91,56,91,10.09
57,Pisco,PE,2021-11-23 20:59:53,-13.7,-76.2167,69.85,73,0,14.97
58,East London,ZA,2021-11-23 21:02:21,-33.0153,27.9116,61.86,71,70,19.91
59,Ancud,CL,2021-11-23 21:04:02,-41.8697,-73.8203,67.42,83,46,8.5
60,Cabo San Lucas,MX,2021-11-23 21:00:00,22.8909,-109.9124,85.6,61,39,8.75
61,Kapaa,US,2021-11-23 21:04:03,22.0752,-159.319,82.38,71,90,1.01
62,Mahebourg,MU,2021-11-23 21:04:04,-20.4081,57.7,72.25,77,42,8.61
63,Shumskiy,RU,2021-11-23 21:04:04,54.8318,99.1328,19.83,83,98,4.38
64,Hurricane,US,2021-11-23 21:04:05,37.1753,-113.2899,68.34,21,100,2.98
65,Ambulu,ID,2021-11-23 21:04:05,-8.345,113.6058,75.27,94,99,3.49
66,Leh,IN,2021-11-23 21:04:05,34.1667,77.5833,17.78,51,99,0.89
67,Bredasdorp,ZA,2021-11-23 21:04:06,-34.5322,20.0403,57.27,78,70,4.05
68,Artesia,US,2021-11-23 21:04:06,33.8658,-118.0831,80.83,47,1,7.0
69,Bethel,US,2021-11-23 21:02:16,41.3712,-73.414,40.57,41,18,1.01
70,Evensk,RU,2021-11-23 20:59:52,61.95,159.2333,10.72,72,96,10.94
71,Yatou,CN,2021-11-23 21:04:08,37.15,122.3833,34.72,48,0,7.65
72,Vila Velha,BR,2021-11-23 21:00:26,-20.3297,-40.2925,76.95,83,0,4.0
73,Saskylakh,RU,2021-11-23 21:04:09,71.9167,114.0833,-24.14,95,12,11.14
74,Vaini,TO,2021-11-23 21:04:09,-21.2,-175.2,82.56,83,20,4.61
75,Promyshlennaya,RU,2021-11-23 21:04:10,54.9159,85.6385,29.35,86,79,12.66
76,Hithadhoo,MV,2021-11-23 21:04:10,-0.6,73.0833,82.24,75,99,18.39
77,Lebu,CL,2021-11-23 21:01:02,-37.6167,-73.65,60.22,75,0,16.4
78,Lebanon,US,2021-11-23 21:04:11,36.2081,-86.2911,50.65,38,1,0.0
79,Sao Joao Da Barra,BR,2021-11-23 21:04:11,-21.6403,-41.0511,77.09,84,6,11.14
80,Portland,US,2021-11-23 21:00:32,45.5234,-122.6762,52.56,88,81,1.99
81,Kavaratti,IN,2021-11-23 21:04:12,10.5669,72.642,81.36,79,73,12.84
82,Payo,ID,2021-11-23 21:04:13,-3.7508,103.6372,72.93,95,100,1.19
83,Cape Town,ZA,2021-11-23 21:01:55,-33.9258,18.4232,64.35,67,100,18.52
84,Skorodnoye,RU,2021-11-23 21:04:14,51.071,37.2276,24.69,72,14,4.65
85,Jamestown,US,2021-11-23 21:01:18,42.097,-79.2353,33.71,86,100,10.0
86,Bathsheba,BB,2021-11-23 21:04:15,13.2167,-59.5167,83.01,74,40,10.36
87,Erdenet,MN,2021-11-23 21:04:15,49.0333,104.0833,10.2,82,43,3.31
88,Muisne,EC,2021-11-23 21:04:16,0.6,-80.0333,80.71,81,100,9.15
89,Atuona,PF,2021-11-23 21:04:16,-9.8,-139.0333,77.77,76,24,15.77
90,Torbay,CA,2021-11-23 21:03:36,47.6666,-52.7314,42.28,92,100,8.99
91,Botwood,CA,2021-11-23 21:04:17,49.1499,-55.3482,40.89,73,100,15.61
92,Ketchikan,US,2021-11-23 21:05:18,55.3422,-131.6461,39.67,81,75,4.61
93,Sydney Mines,CA,2021-11-23 21:05:18,46.2367,-60.2177,56.16,94,100,34.0
94,Te Anau,NZ,2021-11-23 21:05:19,-45.4167,167.7167,54.52,72,88,0.54
95,Cabra,ES,2021-11-23 21:05:20,37.4725,-4.4421,45.18,89,100,1.01
96,Sao Jose Da Coroa Grande,BR,2021-11-23 21:05:20,-8.8978,-35.1478,80.26,77,7,13.29
97,Lagoa,PT,2021-11-23 21:05:20,39.05,-27.9833,66.2,86,100,20.62
98,Puerto Escondido,MX,2021-11-23 21:02:02,15.85,-97.0667,85.51,61,1,5.37
99,Dikson,RU,2021-11-23 21:05:21,73.5069,80.5464,0.63,94,100,13.09
100,Ribeira Grande,PT,2021-11-23 21:05:22,38.5167,-28.7,68.4,88,40,18.41
