City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Axim,GH,4.8699,-2.2405,79.75,83,61,6.42,broken clouds
292,La Orilla,MX,17.9833,-102.2333,82.89,70,50,8.61,scattered clouds
293,Susanville,US,40.4163,-120.653,62.82,31,13,4.23,few clouds
294,Marawi,PH,7.9986,124.2928,65.64,92,100,1.28,overcast clouds
295,Puerto Quijarro,BO,-17.7833,-57.7667,85.62,59,92,3.29,overcast clouds
296,Pizarro,CO,4.9533,-77.366,77.41,87,99,6.13,light rain
297,Shubarkuduk,KZ,49.1447,56.4872,35.96,98,74,7.07,broken clouds
298,Poum,NC,-20.2333,164.0167,82.11,75,14,11.5,few clouds
299,Sao Filipe,CV,14.8961,-24.4956,75.11,66,100,9.95,overcast clouds
300,Sarakhs,IR,36.5449,61.1577,66.04,25,10,23.4,clear sky
301,Batemans Bay,AU,-35.7167,150.1833,78.19,61,2,3.02,clear sky
302,Richards Bay,ZA,-28.783,32.0377,74.66,83,12,14.14,few clouds
303,Katsuura,JP,35.1333,140.3,48.31,46,1,11.05,clear sky
304,Slave Lake,CA,55.2834,-114.769,37.38,65,1,10.36,clear sky
305,Reconquista,AR,-29.15,-59.65,80.58,43,19,6.29,few clouds
306,Gamba,GA,-2.65,10.0,77.34,89,95,5.75,overcast clouds
307,Chifeng,CN,42.2683,118.9636,24.31,54,0,12.91,clear sky
308,Marrakesh,MA,31.6315,-8.0083,57.27,62,1,8.05,clear sky
309,Manggar,ID,-2.8833,108.2667,79.16,80,89,2.1,overcast clouds
310,Harbour Breton,CA,47.4833,-55.7983,37.99,66,37,10.8,scattered clouds
311,Bandarbeyla,SO,9.4942,50.8122,76.53,59,0,16.53,clear sky
312,Krasnoselkup,RU,65.7,82.4667,-3.28,96,98,14.03,overcast clouds
313,Zhigansk,RU,66.7697,123.3711,-42.02,99,70,5.73,broken clouds
314,Northam,GB,51.0333,-4.2167,44.62,71,44,13.94,scattered clouds
315,Tucurui,BR,-3.7661,-49.6725,84.34,54,94,1.83,overcast clouds
316,Antalaha,MG,-14.9003,50.2788,72.46,90,6,5.08,light rain
317,Pomorie,BG,42.5588,27.6439,41.43,75,0,2.3,clear sky
318,Tura,IN,25.5198,90.2201,62.19,68,34,3.51,scattered clouds
319,Helong,CN,42.5397,128.9972,18.43,65,2,10.92,clear sky
320,Talnakh,RU,69.4865,88.3972,-23.69,99,52,5.01,broken clouds
321,Nioro,GM,13.35,-15.75,78.49,37,100,4.74,overcast clouds
322,Ilhabela,BR,-23.7781,-45.3581,73.22,89,85,5.55,overcast clouds
323,Lakes Entrance,AU,-37.8811,147.981,76.15,47,33,5.14,scattered clouds
324,Cabo Rojo,PR,18.0866,-67.1457,83.79,82,92,1.99,overcast clouds
325,Krasnaya Gora,RU,52.9995,31.6023,22.91,96,46,5.91,scattered clouds
326,Namwala,ZM,-15.7504,26.4384,72.82,38,11,4.0,few clouds
327,Samur,RU,41.8253,48.486,44.6,80,100,10.13,overcast clouds
328,Nabire,ID,-3.3667,135.4833,78.37,84,100,2.48,overcast clouds
329,Lata,PT,40.1629,-8.3327,52.21,90,100,7.02,overcast clouds
330,Puerto El Triunfo,SV,13.2833,-88.55,95.86,54,5,7.16,clear sky
331,Kahului,US,20.8947,-156.47,84.22,68,20,13.8,light rain
332,Talakan,RU,50.3167,130.3667,-7.29,94,69,2.35,broken clouds
333,Karratha,AU,-20.7377,116.8463,82.08,30,1,10.85,clear sky
334,Havelock,US,34.8791,-76.9013,64.36,63,1,1.99,clear sky
335,Guhagar,IN,17.4842,73.1929,73.76,97,100,6.08,moderate rain
336,Cooma,AU,-36.2333,149.1333,58.77,88,8,5.75,clear sky
337,Bemidji,US,47.4736,-94.8803,43.09,79,40,11.5,scattered clouds
338,Ngaoundere,CM,7.3167,13.5833,70.97,29,46,3.96,scattered clouds
339,Black River,JM,18.0264,-77.8487,84.2,71,28,1.3,scattered clouds
340,Okha,RU,53.5739,142.9478,25.14,91,100,47.85,snow
341,Beirut,LB,33.8889,35.4944,63.34,68,75,19.57,thunderstorm
342,Curuca,BR,-0.7289,-47.8481,79.84,81,100,8.14,overcast clouds
343,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.56,94,86,2.06,overcast clouds
344,Cherskiy,RU,68.75,161.3,-25.56,100,100,3.31,overcast clouds
345,Honiara,SB,-9.4333,159.95,84.2,73,88,2.26,overcast clouds
346,Broome,US,42.2506,-75.833,37.98,62,1,1.01,clear sky
